ykgC	gproNOG.ENOG410QMIW.meta_raw
sgaE	gproNOG.ENOG410QHT1.meta_raw
group_4979	gproNOG.ENOG410R54P.meta_raw
STY4632	gproNOG.ENOG410R5N9.meta_raw
ychE	gproNOG.ENOG410QJ6I.meta_raw
group_4241	gproNOG.ENOG410R3K5.meta_raw
kdgR	gproNOG.ENOG410QNVG.meta_raw
nusG	gproNOG.ENOG410QIGQ.meta_raw
group_3880	gproNOG.ENOG410QIR8.meta_raw
group_37	gproNOG.ENOG410QK6X.meta_raw
ybiP	gproNOG.ENOG410QKMM.meta_raw
pdxH	gproNOG.ENOG410QM7D.meta_raw
rfaJ	gproNOG.ENOG410QPTR.meta_raw
group_4134	gproNOG.ENOG410QKB9.meta_raw
ung	gproNOG.ENOG410QKAT.meta_raw
yiaC	gproNOG.ENOG410QTFP.meta_raw
ygbK	gproNOG.ENOG410QJJR.meta_raw
STY1490	gproNOG.ENOG410QQ7S.meta_raw
ttrS	gproNOG.ENOG410QJ5I.meta_raw
pduN	gproNOG.ENOG410QTHY.meta_raw
STY4843	gproNOG.ENOG410R4ZQ.meta_raw
surA	gproNOG.ENOG410QI2C.meta_raw
group_5170	gproNOG.ENOG410QVU4.meta_raw
yejH	gproNOG.ENOG410QMSG.meta_raw
STY4610	gproNOG.ENOG410R3YF.meta_raw
group_3070	gproNOG.ENOG410QQ47.meta_raw
group_5171	gproNOG.ENOG410QSC6.meta_raw
group_3850	gproNOG.ENOG410QTMA.meta_raw
yliC	gproNOG.ENOG410QIIP.meta_raw
btuE	gproNOG.ENOG410QN9G.meta_raw
cyaD	gproNOG.ENOG410QHYA.meta_raw
agaR	gproNOG.ENOG410R0JZ.meta_raw
group_2683	gproNOG.ENOG410QS7M.meta_raw
group_3534	gproNOG.ENOG410QTNJ.meta_raw
STY3819	gproNOG.ENOG410QUJB.meta_raw
kdsA	gproNOG.ENOG410QIXG.meta_raw
yiiZ	gproNOG.ENOG410QJ2E.meta_raw
STY3675	gproNOG.ENOG410QIY7.meta_raw
group_4181	gproNOG.ENOG410R5CP.meta_raw
group_2617	gproNOG.ENOG410R197.meta_raw
fabG	gproNOG.ENOG410QIDV.meta_raw
ftnA	gproNOG.ENOG410QQC4.meta_raw
STY0613	gproNOG.ENOG410QXR7.meta_raw
ybhK	gproNOG.ENOG410QJNR.meta_raw
group_3878	gproNOG.ENOG410QK0J.meta_raw
artI	gproNOG.ENOG410RAE6.meta_raw
group_5913	gproNOG.ENOG410QZR6.meta_raw
ycfC	gproNOG.ENOG410QK2M.meta_raw
dsdX	gproNOG.ENOG410QJY8.meta_raw
prmA	gproNOG.ENOG410QKFZ.meta_raw
STY4562	gproNOG.ENOG410QIT2.meta_raw
tfa	gproNOG.ENOG410R3YF.meta_raw
qacF	gproNOG.ENOG410QU9D.meta_raw
group_329	gproNOG.ENOG410R2ZK.meta_raw
pduF	gproNOG.ENOG410QI1K.meta_raw
rhlB	gproNOG.ENOG410QI2F.meta_raw
fdrA	gproNOG.ENOG410QKVC.meta_raw
sopD	gproNOG.ENOG410R6K8.meta_raw
greA	gproNOG.ENOG410QQZM.meta_raw
STY0019	gproNOG.ENOG410QRUX.meta_raw
cinA	gproNOG.ENOG410RA5V.meta_raw
pgtB	gproNOG.ENOG410R9Q3.meta_raw
purH	gproNOG.ENOG410QIM2.meta_raw
cadB	gproNOG.ENOG410R785.meta_raw
yhhK	gproNOG.ENOG410QV1Z.meta_raw
pncB	gproNOG.ENOG410QI0W.meta_raw
gntU	gproNOG.ENOG410QJY8.meta_raw
rpmF	gproNOG.ENOG410QY6M.meta_raw
gltP	gproNOG.ENOG410QHST.meta_raw
yejL	gproNOG.ENOG410QTZF.meta_raw
gatZ	gproNOG.ENOG410QJQ6.meta_raw
group_4850	gproNOG.ENOG410R3NU.meta_raw
STY3065	gproNOG.ENOG410QJCZ.meta_raw
pilP	gproNOG.ENOG410QY3K.meta_raw
yceH	gproNOG.ENOG410QHZA.meta_raw
ispF	gproNOG.ENOG410QQY7.meta_raw
yhbZ	gproNOG.ENOG410QI1P.meta_raw
group_4401	gproNOG.ENOG410QVQJ.meta_raw
yjgB	gproNOG.ENOG410QITG.meta_raw
ygiF	gproNOG.ENOG410QN3M.meta_raw
katE	gproNOG.ENOG410QK28.meta_raw
uvrB	gproNOG.ENOG410QJGQ.meta_raw
group_4221	gproNOG.ENOG410QW34.meta_raw
group_2886	gproNOG.ENOG410QNFD.meta_raw
iroC	gproNOG.ENOG410QHUD.meta_raw
thiG	gproNOG.ENOG410QIB7.meta_raw
yhaN	gproNOG.ENOG410QIX1.meta_raw
STY3093	gproNOG.ENOG410QVH4.meta_raw
STY2349	gproNOG.ENOG410QSET.meta_raw
thiI	gproNOG.ENOG410QJ42.meta_raw
wcaF	gproNOG.ENOG410QJVH.meta_raw
fieF	gproNOG.ENOG410QJID.meta_raw
lldR	gproNOG.ENOG410QNVJ.meta_raw
group_1423	gproNOG.ENOG410QJ7E.meta_raw
ymbI	gproNOG.ENOG410QKEK.meta_raw
smvA	gproNOG.ENOG410QINE.meta_raw
rnk	gproNOG.ENOG410QQWJ.meta_raw
STY4945	gproNOG.ENOG410QX3K.meta_raw
ybiV(1)	gproNOG.ENOG410QP7W.meta_raw
group_458	gproNOG.ENOG410QP8N.meta_raw
group_17	gproNOG.ENOG410QTB4.meta_raw
sipA	gproNOG.ENOG410R4SR.meta_raw
mdlB	gproNOG.ENOG410QHUD.meta_raw
tgt	gproNOG.ENOG410QI58.meta_raw
group_8362	gproNOG.ENOG410QIG5.meta_raw
sucC	gproNOG.ENOG410QI1V.meta_raw
speC	gproNOG.ENOG410QHZP.meta_raw
group_3822	gproNOG.ENOG410QK9P.meta_raw
ccmG	gproNOG.ENOG410QIT3.meta_raw
ychF	gproNOG.ENOG410QJAI.meta_raw
cstA	gproNOG.ENOG410QHWX.meta_raw
STY2015	gproNOG.ENOG410QS9B.meta_raw
group_413	gproNOG.ENOG410QNP7.meta_raw
yncC	gproNOG.ENOG410QR59.meta_raw
carA	gproNOG.ENOG410QI1Y.meta_raw
fepC	gproNOG.ENOG410QJE1.meta_raw
focA	gproNOG.ENOG410QK1B.meta_raw
STY4220	gproNOG.ENOG410QV2Y.meta_raw
STY2149	gproNOG.ENOG410QPGN.meta_raw
group_4330	gproNOG.ENOG410QJYS.meta_raw
ybjY	gproNOG.ENOG410QKAW.meta_raw
group_2891	gproNOG.ENOG410QM61.meta_raw
ugpQ	gproNOG.ENOG410QIA0.meta_raw
talB	gproNOG.ENOG410QIJB.meta_raw
bioD	gproNOG.ENOG410QMPE.meta_raw
group_1198	gproNOG.ENOG410QJEY.meta_raw
group_1887	gproNOG.ENOG410RAUF.meta_raw
ydgK	gproNOG.ENOG410QU34.meta_raw
STY4568	gproNOG.ENOG410QK61.meta_raw
fabB	gproNOG.ENOG410QJ8V.meta_raw
group_4526	gproNOG.ENOG410QSW1.meta_raw
ispB	gproNOG.ENOG410QIFR.meta_raw
STY2410	gproNOG.ENOG410QN2H.meta_raw
stkB	gproNOG.ENOG410R2N9.meta_raw
accB	gproNOG.ENOG410QS6K.meta_raw
group_4003	gproNOG.ENOG410R5P7.meta_raw
ycdW	gproNOG.ENOG410QJKY.meta_raw
group_1500	gproNOG.ENOG410R0ES.meta_raw
STY1395	gproNOG.ENOG410R08K.meta_raw
group_1784	gproNOG.ENOG410QS0G.meta_raw
panB	gproNOG.ENOG410QIDJ.meta_raw
group_4394	gproNOG.ENOG410QW6E.meta_raw
STY2646	gproNOG.ENOG410QISZ.meta_raw
ydiL	gproNOG.ENOG410QTXU.meta_raw
STY3039	gproNOG.ENOG410QIRA.meta_raw
ybaN	gproNOG.ENOG410R8MG.meta_raw
yafS	gproNOG.ENOG410QKZ6.meta_raw
STY4036	gproNOG.ENOG410QHT9.meta_raw
group_7287	gproNOG.ENOG410QNJR.meta_raw
stdB	gproNOG.ENOG410QIUW.meta_raw
ybdF	gproNOG.ENOG410QS1Z.meta_raw
dsbC	gproNOG.ENOG410QI5Y.meta_raw
rep	gproNOG.ENOG410QIZY.meta_raw
yidF	gproNOG.ENOG410QSIB.meta_raw
ptsJ	gproNOG.ENOG410QJ5U.meta_raw
yafV	gproNOG.ENOG410QMNT.meta_raw
purC	gproNOG.ENOG410QI25.meta_raw
sufB	gproNOG.ENOG410QIND.meta_raw
bioD2	gproNOG.ENOG410QIPI.meta_raw
samA	gproNOG.ENOG410QU57.meta_raw
ycfJ	gproNOG.ENOG410QMT2.meta_raw
STY1436	gproNOG.ENOG410QQE6.meta_raw
group_4416	gproNOG.ENOG410R5DX.meta_raw
ybdH	gproNOG.ENOG410QI9D.meta_raw
yihA	gproNOG.ENOG410QM38.meta_raw
coaD	gproNOG.ENOG410QQUD.meta_raw
STY3803	gproNOG.ENOG410R0B0.meta_raw
alf	gproNOG.ENOG410QNYU.meta_raw
gph	gproNOG.ENOG410QQUU.meta_raw
orf7	gproNOG.ENOG410R4ZQ.meta_raw
argI	gproNOG.ENOG410QHTC.meta_raw
vtaP	gproNOG.ENOG410QUEU.meta_raw
lytB	gproNOG.ENOG410QHUR.meta_raw
STY4412	gproNOG.ENOG410QUSD.meta_raw
rpoS	gproNOG.ENOG410QI11.meta_raw
amiA	gproNOG.ENOG410QJX6.meta_raw
yqeF	gproNOG.ENOG410QHVV.meta_raw
ldhA	gproNOG.ENOG410QKE4.meta_raw
STY2036	gproNOG.ENOG410QUYX.meta_raw
STY0186	gproNOG.ENOG410QJHX.meta_raw
group_1786	gproNOG.ENOG410QJ8R.meta_raw
ibpA	gproNOG.ENOG410QS9R.meta_raw
STY0016	gproNOG.ENOG410QQ1K.meta_raw
rseA	gproNOG.ENOG410QMKE.meta_raw
tsr	gproNOG.ENOG410QIB8.meta_raw
ybeK	gproNOG.ENOG410QKPD.meta_raw
STY3174	gproNOG.ENOG410R42I.meta_raw
STY1320	gproNOG.ENOG410QNBC.meta_raw
group_4235	gproNOG.ENOG410QJYP.meta_raw
lpxH	gproNOG.ENOG410QIPX.meta_raw
group_29	gproNOG.ENOG410R8EG.meta_raw
iroD	gproNOG.ENOG410QISE.meta_raw
STY3557	gproNOG.ENOG410QJMA.meta_raw
lysE	gproNOG.ENOG410QQSK.meta_raw
holE	gproNOG.ENOG410QVAP.meta_raw
ybeL	gproNOG.ENOG410QNKR.meta_raw
sgbE	gproNOG.ENOG410QHT1.meta_raw
ptpS	gproNOG.ENOG410QQWM.meta_raw
rsmC	gproNOG.ENOG410QIK1.meta_raw
eco	gproNOG.ENOG410QMTW.meta_raw
narX	gproNOG.ENOG410QJB7.meta_raw
STY2038	gproNOG.ENOG410QRK1.meta_raw
ilvN	gproNOG.ENOG410QSWV.meta_raw
hycB	gproNOG.ENOG410QMY4.meta_raw
ybfN	gproNOG.ENOG410QT5V.meta_raw
yafH	gproNOG.ENOG410QHUI.meta_raw
cof	gproNOG.ENOG410QN4V.meta_raw
group_1277	gproNOG.ENOG410QZIN.meta_raw
ybbP	gproNOG.ENOG410QIM1.meta_raw
ybdQ	gproNOG.ENOG410QQ99.meta_raw
STY4219	gproNOG.ENOG410R2C9.meta_raw
yifL	gproNOG.ENOG410QUWR.meta_raw
yifK	gproNOG.ENOG410QKQV.meta_raw
rpsJ	gproNOG.ENOG410QS8C.meta_raw
fidL	gproNOG.ENOG410QTGV.meta_raw
group_2638	gproNOG.ENOG410QV4T.meta_raw
STY1393	gproNOG.ENOG410R9R5.meta_raw
yhjY	gproNOG.ENOG410QMXJ.meta_raw
proS	gproNOG.ENOG410QIC7.meta_raw
STY4601	gproNOG.ENOG410QM0M.meta_raw
dsdC	gproNOG.ENOG410QJT4.meta_raw
group_3398	gproNOG.ENOG410QKCE.meta_raw
nucE	gproNOG.ENOG410R7JY.meta_raw
yfcM	gproNOG.ENOG410QN3Z.meta_raw
yfeD	gproNOG.ENOG410QSU6.meta_raw
STY1513	gproNOG.ENOG410QHXF.meta_raw
ygeA	gproNOG.ENOG410QK2P.meta_raw
group_476	gproNOG.ENOG410QP36.meta_raw
pspA	gproNOG.ENOG410QK4X.meta_raw
himA	gproNOG.ENOG410QS1J.meta_raw
ybhM	gproNOG.ENOG410R56J.meta_raw
glnD	gproNOG.ENOG410QISD.meta_raw
rimL	gproNOG.ENOG410QQNJ.meta_raw
rnd	gproNOG.ENOG410QJC7.meta_raw
group_4607	gproNOG.ENOG410QN72.meta_raw
asnS	gproNOG.ENOG410QJIV.meta_raw
queA	gproNOG.ENOG410QHXF.meta_raw
ymfB	gproNOG.ENOG410QTW7.meta_raw
tnpR	gproNOG.ENOG410QTB4.meta_raw
STY0387	gproNOG.ENOG410QKC0.meta_raw
group_4126	gproNOG.ENOG410R6JQ.meta_raw
group_3044	gproNOG.ENOG410R4S3.meta_raw
group_4133	gproNOG.ENOG410QNFT.meta_raw
yaaJ	gproNOG.ENOG410QHQD.meta_raw
yraO	gproNOG.ENOG410QKBJ.meta_raw
pgtA	gproNOG.ENOG410QKDV.meta_raw
group_4267	gproNOG.ENOG410QMWM.meta_raw
menF	gproNOG.ENOG410QJ1S.meta_raw
aspG	gproNOG.ENOG410QKUC.meta_raw
mig-14	gproNOG.ENOG410QQUF.meta_raw
group_4397	gproNOG.ENOG410QJRN.meta_raw
STY0767	gproNOG.ENOG410R7H9.meta_raw
chaA	gproNOG.ENOG410QI5I.meta_raw
sthE	gproNOG.ENOG410R0GN.meta_raw
ydgC	gproNOG.ENOG410QUCQ.meta_raw
acrD	gproNOG.ENOG410QI9F.meta_raw
sinR	gproNOG.ENOG410R122.meta_raw
group_2516	gproNOG.ENOG410QUTQ.meta_raw
group_3137	gproNOG.ENOG410QJRG.meta_raw
map	gproNOG.ENOG410QICC.meta_raw
group_3715	gproNOG.ENOG410QTJ0.meta_raw
orn	gproNOG.ENOG410QPV8.meta_raw
acdC	gproNOG.ENOG410QRA4.meta_raw
pldA	gproNOG.ENOG410QKIE.meta_raw
STY2029	gproNOG.ENOG410QM0Z.meta_raw
yhcS	gproNOG.ENOG410QKBK.meta_raw
yraN	gproNOG.ENOG410QVQS.meta_raw
group_1589	gproNOG.ENOG410QMUH.meta_raw
argT	gproNOG.ENOG410QIH7.meta_raw
group_4482	gproNOG.ENOG410QWCU.meta_raw
group_4811	gproNOG.ENOG410R75T.meta_raw
ygbM	gproNOG.ENOG410QHSX.meta_raw
yecN	gproNOG.ENOG410QX78.meta_raw
yfhR	gproNOG.ENOG410QQDG.meta_raw
group_1242	gproNOG.ENOG410QJ9W.meta_raw
STY4573	gproNOG.ENOG410QJNP.meta_raw
group_4632	gproNOG.ENOG410QJ5R.meta_raw
cobS	gproNOG.ENOG410QR3E.meta_raw
yfiQ	gproNOG.ENOG410QI7W.meta_raw
yeaD	gproNOG.ENOG410QMKX.meta_raw
STY1397	gproNOG.ENOG410R70E.meta_raw
group_3198	gproNOG.ENOG410QV3B.meta_raw
ynfC	gproNOG.ENOG410QJQZ.meta_raw
elaA	gproNOG.ENOG410QUIT.meta_raw
ybbJ	gproNOG.ENOG410QSE5.meta_raw
argR	gproNOG.ENOG410QKDK.meta_raw
STY0310	gproNOG.ENOG410QKMH.meta_raw
STY4522	gproNOG.ENOG410QM48.meta_raw
fldB	gproNOG.ENOG410QKCW.meta_raw
mreD	gproNOG.ENOG410QIUF.meta_raw
yaeR	gproNOG.ENOG410QSBV.meta_raw
bigA	gproNOG.ENOG410QK11.meta_raw
yhgF	gproNOG.ENOG410QIMF.meta_raw
ybdD	gproNOG.ENOG410QUJ4.meta_raw
gpmA	gproNOG.ENOG410QHRN.meta_raw
rplP	gproNOG.ENOG410QPY6.meta_raw
wrbA	gproNOG.ENOG410QPVJ.meta_raw
STY1458	gproNOG.ENOG410QIEZ.meta_raw
ppdA	gproNOG.ENOG410QTDG.meta_raw
group_3074	gproNOG.ENOG410R6FN.meta_raw
STY4630	gproNOG.ENOG410QX59.meta_raw
caiC	gproNOG.ENOG410QJ9J.meta_raw
dapE	gproNOG.ENOG410QJS2.meta_raw
invI	gproNOG.ENOG410R6TH.meta_raw
yecE	gproNOG.ENOG410QIDQ.meta_raw
group_1304	gproNOG.ENOG410QN6Q.meta_raw
group_2850	gproNOG.ENOG410QPTQ.meta_raw
yjjV	gproNOG.ENOG410QQV1.meta_raw
dcuC	gproNOG.ENOG410QKVK.meta_raw
abrB	gproNOG.ENOG410QJT9.meta_raw
pflE	gproNOG.ENOG410QNBV.meta_raw
ygiW	gproNOG.ENOG410QT3Q.meta_raw
gpsA	gproNOG.ENOG410QI92.meta_raw
group_3025	gproNOG.ENOG410QWTP.meta_raw
fliR	gproNOG.ENOG410QJHH.meta_raw
yjdL	gproNOG.ENOG410QMU5.meta_raw
umuD	gproNOG.ENOG410QU57.meta_raw
scsA	gproNOG.ENOG410QXCY.meta_raw
glnK	gproNOG.ENOG410QS2E.meta_raw
ygdR	gproNOG.ENOG410QWVN.meta_raw
group_7268	gproNOG.ENOG410QJ18.meta_raw
group_4151	gproNOG.ENOG410QI83.meta_raw
deoC	gproNOG.ENOG410QIQ4.meta_raw
ptsG	gproNOG.ENOG410QIK3.meta_raw
steC	gproNOG.ENOG410QM0E.meta_raw
STY4453	gproNOG.ENOG410QMG7.meta_raw
mlrA	gproNOG.ENOG410QJ00.meta_raw
leuA	gproNOG.ENOG410QIE5.meta_raw
yjjB	gproNOG.ENOG410QQD7.meta_raw
vmtM	gproNOG.ENOG410QXN4.meta_raw
ogt	gproNOG.ENOG410QU18.meta_raw
group_4217	gproNOG.ENOG410QPEZ.meta_raw
group_1034	gproNOG.ENOG410QIVQ.meta_raw
dpaL	gproNOG.ENOG410QKR1.meta_raw
yghA	gproNOG.ENOG410QKX5.meta_raw
sufI	gproNOG.ENOG410QN9T.meta_raw
yfiM	gproNOG.ENOG410QUHJ.meta_raw
tyrB	gproNOG.ENOG410QIC5.meta_raw
ydeV	gproNOG.ENOG410RA2W.meta_raw
yfdP	gproNOG.ENOG410QSPU.meta_raw
ulaA	gproNOG.ENOG410QIUM.meta_raw
group_247	gproNOG.ENOG410R4PT.meta_raw
ratA	gproNOG.ENOG410QPEQ.meta_raw
STY1889	gproNOG.ENOG410QQR0.meta_raw
yfjF	gproNOG.ENOG410QTP2.meta_raw
gltB	gproNOG.ENOG410QJBU.meta_raw
ssaE	gproNOG.ENOG410R5IR.meta_raw
acrE	gproNOG.ENOG410QKAU.meta_raw
yfiH	gproNOG.ENOG410QIHK.meta_raw
group_2902	gproNOG.ENOG410QPRP.meta_raw
STY4518	gproNOG.ENOG410QRBM.meta_raw
HCM1.219	gproNOG.ENOG410QSG1.meta_raw
STY4018	gproNOG.ENOG410QN61.meta_raw
ydhH	gproNOG.ENOG410QI2M.meta_raw
nudG	gproNOG.ENOG410QRKA.meta_raw
yneC	gproNOG.ENOG410QTFK.meta_raw
gatB	gproNOG.ENOG410QTDH.meta_raw
ynfB	gproNOG.ENOG410QTW2.meta_raw
pqaB	gproNOG.ENOG410QITX.meta_raw
narK	gproNOG.ENOG410RAAF.meta_raw
sulI3'	gproNOG.ENOG410QVW7.meta_raw
ybiK	gproNOG.ENOG410QKXU.meta_raw
STY0178	gproNOG.ENOG410QTYY.meta_raw
tolR	gproNOG.ENOG410R8IG.meta_raw
ybjF	gproNOG.ENOG410QJQK.meta_raw
smtA	gproNOG.ENOG410QJ0K.meta_raw
group_4525	gproNOG.ENOG410QVR7.meta_raw
yeaR	gproNOG.ENOG410QSEC.meta_raw
sipB	gproNOG.ENOG410QSR3.meta_raw
yjeP	gproNOG.ENOG410QIUD.meta_raw
ybhB	gproNOG.ENOG410QNXJ.meta_raw
yhfG	gproNOG.ENOG410QXPR.meta_raw
yfgE	gproNOG.ENOG410QJ6T.meta_raw
polA	gproNOG.ENOG410QHY5.meta_raw
msyB	gproNOG.ENOG410QQV6.meta_raw
lysA	gproNOG.ENOG410QJCC.meta_raw
yjdC	gproNOG.ENOG410QQ7U.meta_raw
yibD	gproNOG.ENOG410QJ3E.meta_raw
ymbA	gproNOG.ENOG410QQEW.meta_raw
yfdC	gproNOG.ENOG410QMVM.meta_raw
cobU	gproNOG.ENOG410QS3U.meta_raw
mefE	gproNOG.ENOG410QNT2.meta_raw
lpfE	gproNOG.ENOG410R382.meta_raw
iap	gproNOG.ENOG410QIW2.meta_raw
kdtA	gproNOG.ENOG410QIGJ.meta_raw
yeiE	gproNOG.ENOG410QHSI.meta_raw
eutJ	gproNOG.ENOG410RADX.meta_raw
dsdA	gproNOG.ENOG410QJ4R.meta_raw
rfaP	gproNOG.ENOG410QP9Z.meta_raw
yibN	gproNOG.ENOG410QR8U.meta_raw
oat	gproNOG.ENOG410QNGP.meta_raw
frr	gproNOG.ENOG410QK49.meta_raw
group_3969	gproNOG.ENOG410QWCU.meta_raw
group_4504	gproNOG.ENOG410QJP1.meta_raw
ydhC	gproNOG.ENOG410QJ7M.meta_raw
group_841	gproNOG.ENOG410QIWI.meta_raw
group_3530	gproNOG.ENOG410QR4U.meta_raw
ydiU	gproNOG.ENOG410QHUE.meta_raw
yhfL	gproNOG.ENOG410QVP1.meta_raw
STY3166	gproNOG.ENOG410QQ7B.meta_raw
group_1413	gproNOG.ENOG410QNNB.meta_raw
STY0021	gproNOG.ENOG410QJBM.meta_raw
STY0171	gproNOG.ENOG410QHUW.meta_raw
rnc	gproNOG.ENOG410QHV5.meta_raw
bcfA	gproNOG.ENOG410QV96.meta_raw
STY4865	gproNOG.ENOG410QQAW.meta_raw
vtf	gproNOG.ENOG410R15B.meta_raw
group_8894	gproNOG.ENOG410QN5N.meta_raw
yicL	gproNOG.ENOG410QMRT.meta_raw
fdnH	gproNOG.ENOG410QJX0.meta_raw
rbn	gproNOG.ENOG410QJQH.meta_raw
argC	gproNOG.ENOG410QK4T.meta_raw
leuD	gproNOG.ENOG410QISS.meta_raw
group_5178	gproNOG.ENOG410QK5N.meta_raw
acs	gproNOG.ENOG410RAT4.meta_raw
group_1235	gproNOG.ENOG410QIVU.meta_raw
STY0919	gproNOG.ENOG410QMDG.meta_raw
dedD	gproNOG.ENOG410QQ4K.meta_raw
nadR	gproNOG.ENOG410QKS6.meta_raw
dnaK	gproNOG.ENOG410QJ3C.meta_raw
group_2636	gproNOG.ENOG410R63A.meta_raw
torA	gproNOG.ENOG410RA2B.meta_raw
manA	gproNOG.ENOG410QKF1.meta_raw
group_2920	gproNOG.ENOG410QX4I.meta_raw
yjjA	gproNOG.ENOG410QU2D.meta_raw
ydjI	gproNOG.ENOG410QN4K.meta_raw
galE	gproNOG.ENOG410QIFT.meta_raw
hslV	gproNOG.ENOG410QIQF.meta_raw
group_4176	gproNOG.ENOG410QUCT.meta_raw
group_4295	gproNOG.ENOG410QUKQ.meta_raw
yjeN	gproNOG.ENOG410R39C.meta_raw
ptsH	gproNOG.ENOG410QU31.meta_raw
group_8997	gproNOG.ENOG410QN43.meta_raw
gshB	gproNOG.ENOG410QJUD.meta_raw
STY1755	gproNOG.ENOG410QN5P.meta_raw
adh3	gproNOG.ENOG410QHRB.meta_raw
ycfW	gproNOG.ENOG410QHZR.meta_raw
sitC	gproNOG.ENOG410QHSM.meta_raw
STY1166	gproNOG.ENOG410QMQ3.meta_raw
nrdB	gproNOG.ENOG410QK6K.meta_raw
STY3680	gproNOG.ENOG410QWFC.meta_raw
mesJ	gproNOG.ENOG410QHV1.meta_raw
group_3656	gproNOG.ENOG410QKHD.meta_raw
ptpC	gproNOG.ENOG410QN93.meta_raw
nlpI	gproNOG.ENOG410QMB6.meta_raw
apbA	gproNOG.ENOG410QJMD.meta_raw
gst	gproNOG.ENOG410QMC0.meta_raw
nrfD	gproNOG.ENOG410QKKX.meta_raw
STY3614	gproNOG.ENOG410R135.meta_raw
fliA	gproNOG.ENOG410QIXH.meta_raw
modB	gproNOG.ENOG410QID7.meta_raw
STY3208	gproNOG.ENOG410R4B4.meta_raw
bfd	gproNOG.ENOG410QW2T.meta_raw
potD	gproNOG.ENOG410RAGY.meta_raw
yqhE	gproNOG.ENOG410QHRK.meta_raw
group_5571	gproNOG.ENOG410QRY0.meta_raw
yqhA	gproNOG.ENOG410QNWT.meta_raw
ptsO	gproNOG.ENOG410QVQF.meta_raw
ssaT	gproNOG.ENOG410QQPX.meta_raw
rpsR	gproNOG.ENOG410QTR6.meta_raw
group_2956	gproNOG.ENOG410QV34.meta_raw
ybeX	gproNOG.ENOG410RB32.meta_raw
slt	gproNOG.ENOG410QIM3.meta_raw
aspA	gproNOG.ENOG410RAQN.meta_raw
argA	gproNOG.ENOG410RA1Z.meta_raw
STY4858	gproNOG.ENOG410QSJ4.meta_raw
yfeN	gproNOG.ENOG410QJWE.meta_raw
group_4854	gproNOG.ENOG410QN7U.meta_raw
group_2905	gproNOG.ENOG410R6BM.meta_raw
STY2031	gproNOG.ENOG410R26J.meta_raw
yigN	gproNOG.ENOG410QIN6.meta_raw
frwC	gproNOG.ENOG410QJYQ.meta_raw
group_1155	gproNOG.ENOG410QMG9.meta_raw
traU	gproNOG.ENOG410QPHP.meta_raw
group_4702	gproNOG.ENOG410QU2K.meta_raw
STY4528	gproNOG.ENOG410QKX6.meta_raw
mrcB	gproNOG.ENOG410QHPT.meta_raw
STY1021	gproNOG.ENOG410R2S2.meta_raw
group_2612	gproNOG.ENOG410QT8X.meta_raw
insB1	gproNOG.ENOG410QSG1.meta_raw
hnr	gproNOG.ENOG410QN0D.meta_raw
groS	gproNOG.ENOG410QS3K.meta_raw
ppc	gproNOG.ENOG410QJ0X.meta_raw
ydgR	gproNOG.ENOG410R340.meta_raw
yicF	gproNOG.ENOG410QKKD.meta_raw
dgkA	gproNOG.ENOG410QTNC.meta_raw
STY4448	gproNOG.ENOG410QX9J.meta_raw
malP	gproNOG.ENOG410RAUG.meta_raw
eutL	gproNOG.ENOG410QP5V.meta_raw
group_1106	gproNOG.ENOG410QNIT.meta_raw
group_5140	gproNOG.ENOG410QTFV.meta_raw
wcaB	gproNOG.ENOG410QMH8.meta_raw
cigR	gproNOG.ENOG410QSW8.meta_raw
yrbC	gproNOG.ENOG410QKDH.meta_raw
hybE	gproNOG.ENOG410QR0W.meta_raw
phoL	gproNOG.ENOG410QIGA.meta_raw
group_8999	gproNOG.ENOG410QN43.meta_raw
group_2523	gproNOG.ENOG410QZ0A.meta_raw
birA	gproNOG.ENOG410QJWA.meta_raw
amtB	gproNOG.ENOG410QIRQ.meta_raw
wecC	gproNOG.ENOG410RAQP.meta_raw
perM	gproNOG.ENOG410QHRI.meta_raw
group_3950	gproNOG.ENOG410R82N.meta_raw
fdhE	gproNOG.ENOG410QM4R.meta_raw
tatC	gproNOG.ENOG410QI0S.meta_raw
group_5128	gproNOG.ENOG410QIWJ.meta_raw
flhA	gproNOG.ENOG410QIVK.meta_raw
kdgK	gproNOG.ENOG410QI6C.meta_raw
yfeV	gproNOG.ENOG410RA20.meta_raw
STY3436	gproNOG.ENOG410QMCA.meta_raw
group_8574	gproNOG.ENOG410QPRR.meta_raw
rpsG	gproNOG.ENOG410QJSA.meta_raw
aadA	gproNOG.ENOG410QRKI.meta_raw
aegA	gproNOG.ENOG410QM30.meta_raw
group_394	gproNOG.ENOG410R6BJ.meta_raw
yfdZ	gproNOG.ENOG410QI54.meta_raw
STY3950	gproNOG.ENOG410QNQR.meta_raw
STY4566	gproNOG.ENOG410R7QY.meta_raw
hpaB	gproNOG.ENOG410QNJ2.meta_raw
ruvA	gproNOG.ENOG410QKMF.meta_raw
group_2814	gproNOG.ENOG410QJCK.meta_raw
gloA	gproNOG.ENOG410RAA0.meta_raw
sthD	gproNOG.ENOG410QVFP.meta_raw
group_4276	gproNOG.ENOG410QJR3.meta_raw
yhaK	gproNOG.ENOG410QMN7.meta_raw
yqjK	gproNOG.ENOG410QW6N.meta_raw
