"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Salmonella_enterica_subsp_enterica_serovar_Agona_str_SL483_v1","Salmonella_enterica_subsp_enterica_serovar_Choleraesuis_str_SC-B67_v1","Salmonella_enterica_subsp_enterica_serovar_Dublin_str_CT_02021853_v1","Salmonella_enterica_subsp_enterica_serovar_Enteritidis_str_P125109_v1","Salmonella_enterica_subsp_enterica_serovar_Gallinarum_str_287_91_v1","Salmonella_enterica_subsp_enterica_serovar_Heidelberg_str_SL476_v1","Salmonella_enterica_subsp_enterica_serovar_Newport_str_SL254_v1","Salmonella_enterica_subsp_enterica_serovar_Paratyphi_A_str_ATCC_9150_v1","Salmonella_enterica_subsp_enterica_serovar_Paratyphi_B_str_SPB7_v1","Salmonella_enterica_subsp_enterica_serovar_Paratyphi_C_strain_RKS4594_v1","Salmonella_enterica_subsp_enterica_serovar_Schwarzengrund_str_CVM19633_v1","Salmonella_enterica_subsp_enterica_serovar_Typhi_str_CT18_v1","Salmonella_enterica_subsp_enterica_serovar_Typhimurium_str_LT2_v1"
"ttrS","","sensor-kinase","12","12","1","1","8335","156","3","","1748","1778","1760","CP001138.3504","AE017220.3079","CP001144.3779","AM933172.5411___7216","AM933173.5236___26184","CP001120.2975","CP001113.2943","CP000026.2933","CP000886.3888___41327","CP000857.4689","CP001127.2906","","AE006468.4225"
"ynfD","","putative outer membrane protein","12","12","1","1","8025","354","1","","305","308","306","CP001138.3278","AE017220.3321","CP001144.3556","AM933172.5040___6681","AM933173.4898___25694","CP001120.3273","CP001113.3166","CP000026.2709","CP000886.3626___41065","CP000857.4461","CP001127.3141","","AE006468.4547"
"yeeF","","amino acid permease","12","12","1","1","6507","831","1","","1358","1364","1360","CP001138.4291","AE017220.4566","CP001144.4650","AM933172.6584___8682","","CP001120.4495","CP001113.4403","CP000026.1605","CP000886.1940___39379","CP000857.3303","CP001127.4483","AL513382.4312___53310","AE006468.6261"
"aegA","","protein AegA","12","12","1","1","4487","78","4","","1961","1967","1961","CP001138.5137","AE017220.5428","CP001144.5487","AM933172.7961___10673","AM933173.7561___29411","CP001120.5377","CP001113.5243","CP000026.779","CP000886.946___38385","CP000857.2372","CP001127.5296","","AE006468.7552"
"pipA","","pathogenicity island-encoded protein A","12","12","1","1","8557","1","2728","","503","680","635","CP001138.2051","AE017220.2306","CP001144.2248","AM933172.3209___4300","AM933173.3086___23348","CP001120.2341","CP001113.2326","CP000026.3525","CP000886.4939___42378","CP000857.5319","","AL513382.2116___51114","AE006468.3330"
"STY2876","","type I secretion outer membrane protein, TolC family","12","12","1","1","4099","62","9","","1409","1409","1409","","AE017220.5905","CP001144.5819","AM933172.8521___11377","AM933173.8086___30072","CP001120.5703","CP001113.5697","CP000026.5097","CP000886.6816___44255","CP000857.5599","CP001127.5635","AL513382.5884___54882","AE006468.8184"
"yhdJ","","DNA methylase","12","12","1","1","2066","21","13","","884","890","884","CP001138.7004","AE017220.7271","CP001144.7220","AM933172.10516___13937","AM933173.9953___32489","CP001120.7223","CP001113.7152","","CP000886.8439___45878","CP000857.6923","CP001127.6980","AL513382.7262___56261","AE006468.10285"
"yhfK","","integral membrane protein, YccS/YhfK family","12","12","1","1","912","593","1","","2087","2099","2088","CP001138.7173","AE017220.7453","CP001144.7384","AM933172.10781___14241","AM933173.12163___35543","CP001120.7392","CP001113.7320","CP000026.6662","CP000886.8627___46066","CP000857.7093","CP001127.7146","","AE006468.10521"
"relB","","conserved domain protein","12","12","1","1","218","149","2","","242","242","242","","AE017220.9490","CP001144.9293","AM933172.13895___18516","AM933173.13141___36840","CP001120.9489","CP001113.9376","CP000026.8486","CP000886.11196___48635","CP000857.9213","CP001127.9172","AL513382.9734___58736","AE006468.13614"
"STY1940","","conserved hypothetical protein","12","12","1","1","5344","379","1","","137","137","137","CP001138.2591","AE017220.3955","CP001144.2909","AM933172.4004___5299","AM933173.3969___24437","CP001120.3939","CP001113.3829","CP000026.2125","CP000886.2817___40256","","CP001127.3824","AL513382.3620___52618","AE006468.5488"
"ybcY","","methyltransferase type 12","12","12","1","1","5137","6","7","","437","710","620","CP001138.2976","AE017220.3587","CP001144.3293","AM933172.4618___6068","AM933173.4511___25134","CP001120.3559","CP001113.3445","","CP000886.3277___40716","CP000857.4207","CP001127.3441","AL513382.2720___51718","AE006468.4943"
"sseJ","","secreted effector protein","12","12","1","1","5129","6","15","","140","1226","1135","CP001138.2990","AE017220.3569","CP001144.3307","AM933172.4642___6108","AM933173.4533___25173","CP001120.3545","CP001113.3431","","CP000886.3295___40734","CP000857.4220","CP001127.3427","AL513382.2734___51732","AE006468.4924"
"yddG","","inner membrane protein YddG","12","12","1","1","5059","38","9","","767","923","848","CP001138.3124","AE017220.3433","CP001144.3428","AM933172.4834___6388","AM933173.4716___25452","CP001120.3424","CP001113.3309","CP000026.2593","CP000886.3455___40894","CP000857.4342","CP001127.3303","","AE006468.4751"
"phnU","","2-aminoethylphosphonate ABC transporter, permease protein","12","12","1","1","7531","169","2","","860","869","865","","AE017220.1026","CP001144.900","AM933172.1371___1748","AM933173.1346___20873","CP001120.1029","CP001113.922","CP000026.4591","CP000886.6315___43754","CP000857.882","CP001127.944","AL513382.909___49907","AE006468.1306"
"STY0523","","conserved hypothetical protein","12","12","1","1","7588","391","1","","923","935","930","CP001138.1010","AE017220.1143","CP001144.1007","AM933172.1557___2038","AM933173.1525___21152","","CP001113.1031","CP000026.4485","CP000886.6191___43630","CP000857.987","CP001127.1047","AL513382.1038___50036","AE006468.1463"
"ssaK","","type III secretion apparatus protein, HrpE/YscL family","12","12","1","1","8361","466","1","","536","674","662","CP001138.3458","AE017220.3130","","AM933172.5352___7155","AM933173.5179___26125","CP001120.3021","CP001113.2989","CP000026.2883","CP000886.3832___41271","CP000857.4639","CP001127.2952","AL513382.3216___52214","AE006468.4294"
"STY0477","","putative periplasmic protein","12","12","1","1","7432","90","8","","545","1511","1430","CP001138.923","AE017220.1051","CP001144.920","AM933172.1401___1795","AM933173.1375___20919","CP001120.1049","CP001113.942","CP000026.4569","CP000886.6291___43730","CP000857.903","","AL513382.931___49929","AE006468.1336"
"ycfR","","protein YcfR","12","12","1","1","8641","824","2","","257","323","262","CP001138.3870","AE017220.2570","CP001144.4166","AM933172.5977___7959","","CP001120.2599","CP001113.2581","CP000026.3273","CP000886.4614___42053","CP000857.5059","CP001127.2525","AL513382.2351___51349","AE006468.3713"
"bcsB","","cyclic di-GMP binding protein","12","12","1","1","1309","32","5","","2279","2300","2296","CP001138.7496","","CP001144.7692","AM933172.11306___14989","AM933173.11653___34805","CP001120.7711","CP001113.7620","CP000026.6944","CP000886.8990___46429","CP000857.7403","CP001127.7441","AL513382.8519___57520","AE006468.11007"
"cbiC","","cobalt-precorrin-8X methylmutase","12","12","1","1","6556","290","1","","470","632","605","CP001138.4218","AE017220.4490","CP001144.4577","AM933172.6483___8562","AM933173.6160___27387","CP001120.4422","CP001113.4332","","CP000886.2150___39589","CP000857.3376","CP001127.4304","AL513382.4223___53221","AE006468.6157"
"res","","type III restriction-modification system StyLTI enzyme res","12","12","1","1","7450","142","2","","2969","2975","2971","CP001138.760","AE017220.885","CP001144.754","AM933172.1157___1445","AM933173.1141___20577","CP001120.880","CP001113.773","CP000026.4729","CP000886.6481___43920","CP000857.743","CP001127.795","","AE006468.1087"
"ushA","","protein UshA","12","12","1","1","7608","545","1","","1652","1661","1652","CP001138.1049","AE017220.1177","CP001144.1044","AM933172.1602___2104","AM933173.1570___21223","CP001120.1166","CP001113.1066","CP000026.4455","CP000886.6148___43587","CP000857.1019","CP001127.1081","","AE006468.1503"
"STY2366","","Tir chaperone","12","12","1","1","6421","42","8","","269","416","354","CP001138.4463","AE017220.4719","CP001144.4799","AM933172.6795___8992","AM933173.6465___27807","CP001120.4645","CP001113.4557","CP000026.1427","","CP000857.3146","CP001127.4638","AL513382.4517___53515","AE006468.6469"
"yohF","","oxidoreductase, short chain dehydrogenase/reductase family","12","12","1","1","6378","63","3","","296","782","729","CP001138.4533","AE017220.4789","CP001144.4865","","AM933173.6579___27963","CP001120.4717","CP001113.4627","CP000026.1359","CP000886.1698___39137","CP000857.3082","CP001127.4706","AL513382.4605___53603","AE006468.6570"
"napF","","ferredoxin-type protein NapF","12","12","1","1","4733","182","2","","137","491","461","CP001138.4689","","CP001144.5027","AM933172.7213___9597","AM933173.6858___28392","CP001120.4906","CP001113.4794","CP000026.1205","CP000886.1466___38905","CP000857.2922","CP001127.4859","AL513382.4837___53835","AE006468.6842"
"tub","","putative permease","12","12","1","1","4719","77","3","","947","1325","1264","CP001138.4717","AE017220.4991","CP001144.5053","AM933172.7275___9666","AM933173.6916___28456","CP001120.4932","CP001113.4820","CP000026.1179","CP000886.1430___38869","CP000857.2900","CP001127.4885","","AE006468.6898"
"STY3026","","putative ABC-type transport system","12","12","1","1","9380","20","12","","281","290","284","CP001138.5921","AE017220.6209","CP001144.6186","AM933172.8953___11954","AM933173.8496___30619","CP001120.6062","CP001113.6095","CP000026.5516","CP000886.7223___44662","CP000857.5889","","AL513382.6252___55250","AE006468.8807"
"STY3037","","transcriptional regulator, LysR family","12","12","1","1","9388","148","2","","911","932","919","CP001138.5938","","CP001144.6205","AM933172.8979___11993","AM933173.8522___30659","CP001120.6079","CP001113.6115","CP000026.5534","CP000886.7247___44686","CP000857.5911","CP001127.5975","AL513382.6269___55267","AE006468.8830"
"cysH","","phosphoadenosine phosphosulfate reductase","12","12","1","1","9440","11","13","","734","734","734","CP001138.6020","AE017220.6305","CP001144.6274","AM933172.9066___12093","AM933173.8607___30758","CP001120.6153","CP001113.6188","CP000026.5600","CP000886.7308___44747","","CP001127.6047","AL513382.6330___55328","AE006468.8934"
"STY3172","","conserved hypothetical protein","12","12","1","1","2526","5","27","","740","758","756","CP001138.6221","AE017220.6494","CP001144.6470","AM933172.9357___12478","","CP001120.6355","CP001113.6384","CP000026.5780","CP000886.7529___44968","CP000857.6170","CP001127.6230","AL513382.6522___55520","AE006468.9175"
"yjiD","","putative cytoplasmic protein","12","12","1","1","2364","144","3","","209","383","282","CP001138.6460","AE017220.6729","CP001144.6692","AM933172.9699___12886","AM933173.9175___31472","CP001120.6614","CP001113.6627","CP000026.5992","CP000886.7805___45244","CP000857.6397","CP001127.6446","","AE006468.9506"
"group_526","","conserved hypothetical protein","12","12","1","1","2333","353","1","","347","515","494","CP001138.6514","AE017220.6784","CP001144.6745","AM933172.9776___12983","AM933173.9245___31566","CP001120.6670","CP001113.6681","CP000026.6040","CP000886.7873___45312","CP000857.6451","CP001127.6508","","AE006468.9580"
"STY3352","","transcription activator, effector binding","12","12","1","1","2301","345","1","","500","866","835","CP001138.6568","AE017220.6832","CP001144.6789","AM933172.9845___13079","AM933173.9312___31661","CP001120.6714","CP001113.6725","CP000026.6084","CP000886.7927___45366","CP000857.6499","","AL513382.6837___55836","AE006468.9640"
"ygjR","","putative oxidoreductase YgjR","12","12","1","1","2248","259","1","","542","1034","972","CP001138.6677","AE017220.6942","CP001144.6896","AM933172.10001___13260","AM933173.9465___31841","CP001120.6898","CP001113.6830","CP000026.6178","","CP000857.6603","CP001127.6657","AL513382.6923___55922","AE006468.9785"
"STY3536","","anion transporter","12","12","1","1","2101","386","1","","1181","1352","1273","CP001138.6944","AE017220.7210","CP001144.7158","AM933172.10417___13795","AM933173.9859___32352","CP001120.7163","CP001113.7090","","CP000886.8363___45802","CP000857.6861","CP001127.6920","AL513382.7206___56205","AE006468.10185"
"yheT","","alpha/beta hydrolase fold","12","12","1","1","1490","84","8","","959","1076","1019","CP001138.7163","AE017220.7442","CP001144.7374","AM933172.10764___14224","AM933173.12180___35567","CP001120.7382","CP001113.7310","CP000026.6652","CP000886.8617___46056","CP000857.7084","CP001127.7134","","AE006468.10500"
"yhjW","","membrane-associated sulfatase","12","12","1","1","1286","41","5","","1631","1748","1685","CP001138.7538","AE017220.7815","CP001144.7736","AM933172.11362___15091","AM933173.11606___34714","CP001120.7755","CP001113.7664","","CP000886.9036___46475","CP000857.7445","CP001127.7483","AL513382.8477___57478","AE006468.11059"
"rbsA","","ribose ABC transporter, ATP-binding protein","12","12","1","1","1923","141","3","","1028","1550","1487","CP001138.8055","AE017220.8310","CP001144.8225","AM933172.12190___16265","AM933173.10833___33638","CP001120.8262","CP001113.8163","CP000026.7438","CP000886.9649___47088","CP000857.7943","CP001127.7994","","AE006468.11839"
"dctA","","aerobic C4-dicarboxylate transport protein","12","12","1","1","1314","287","1","","1286","1307","1287","CP001138.7488","AE017220.7770","CP001144.7684","AM933172.11284___14959","AM933173.11675___34828","CP001120.7703","CP001113.7612","CP000026.6936","CP000886.8980___46419","","CP001127.7433","AL513382.8532___57533","AE006468.10997"
"STY4772","","dihydroorotase","12","12","1","1","267","348","1","","947","1163","1144","CP001138.9179","","CP001144.9260","AM933172.13851___18462","AM933173.13097___36783","CP001120.9456","CP001113.9342","CP000026.8454","CP000886.11106___48545","CP000857.9179","CP001127.9138","AL513382.9709___58711","AE006468.13511"
"STY0368","","putative outer membrane protein","12","12","1","1","7392","1","2419","","155","398","309","CP001138.711","AE017220.839","CP001144.707","AM933172.1075___1335","AM933173.1064___20466","CP001120.831","CP001113.728","CP000026.4767","","CP000857.698","CP001127.749","AL513382.742___49740","AE006468.1020"
"sthB","","outer membrane usher protein SfmD","12","12","1","1","3676","356","1","","2372","2537","2478","CP001138.9613","AE017220.9797","CP001144.9623","AM933172.14344___19103","AM933173.13560___37416","CP001120.9787","CP001113.9684","CP000026.8794","CP000886.11540___48979","CP000857.9503","CP001127.9454","","AE006468.14046"
"STY0374","","putative transmembrane regulator","12","12","1","1","7385","79","6","","416","764","693","CP001138.723","AE017220.851","CP001144.719","AM933172.1101___1361","AM933173.1088___20493","CP001120.843","CP001113.740","","CP000886.6521___43960","CP000857.710","CP001127.761","AL513382.757___49755","AE006468.1037"
"ydeE","","transporter, major facilitator family","12","12","1","1","8003","67","4","","455","1196","1113","CP001138.3242","AE017220.3355","","AM933172.4988___6615","AM933173.4849___25629","CP001120.3309","CP001113.3202","CP000026.2675","CP000886.3580___41019","CP000857.4428","CP001127.3179","AL513382.2920___51918","AE006468.4592"
"STY2002","","putative inner membrane protein","12","12","1","1","5422","1","2144","","398","620","597","","AE017220.4092","CP001144.2791","AM933172.3840___5080","AM933173.3808___24226","CP001120.4065","CP001113.3962","CP000026.2015","CP000886.2665___40104","CP000857.3733","CP001127.3940","AL513382.3711___52709","AE006468.5649"
"relE","","putative stability protein StbE","12","12","1","1","217","149","1","","284","284","284","","AE017220.9492","CP001144.9295","AM933172.13898___18519","AM933173.13144___36843","CP001120.9491","CP001113.9378","CP000026.8488","CP000886.11198___48637","CP000857.9215","CP001127.9174","AL513382.9735___58737","AE006468.13617"
"ddlA","","D-alanine--D-alanine ligase","12","12","1","1","7474","508","1","","1094","1112","1095","CP001138.805","AE017220.929","CP001144.801","AM933172.1225___1540","AM933173.1203___20668","CP001120.925","CP001113.820","","CP000886.6427___43866","CP000857.784","CP001127.840","AL513382.818___49816","AE006468.1150"
"group_6545","yhjE","major facilitator family transporter","12","12","1","1","7638","4","10","","1247","1256","1247","CP001138.1103","AE017220.1229","CP001144.1098","AM933172.1700___2230","AM933173.1660___21338","CP001120.1220","CP001113.1120","CP000026.4403","CP000886.6088___43527","CP000857.1071","","AL513382.1134___50132","AE006468.1580"
"ybbY","","putative purine permease YbbY","12","12","1","1","7642","4","13","","1298","1304","1298","CP001138.1109","AE017220.1235","CP001144.1104","AM933172.1710___2262","AM933173.1669___21369","CP001120.1226","CP001113.1126","CP000026.4397","CP000886.6082___43521","CP000857.1077","","AL513382.1141___50139","AE006468.1590"
"STY1991","","putative acetyltransferase","12","12","1","1","5408","1","2127","","176","437","403","CP001138.2472","AE017220.4064","CP001144.2804","AM933172.3855___5108","AM933173.3824___24256","CP001120.4045","","CP000026.2029","CP000886.2692___40131","CP000857.3759","CP001127.3924","AL513382.3698___52696","AE006468.5630"
"STY0093","","probable secreted protein","12","12","1","1","3563","43","6","","395","422","415","CP001138.177","AE017220.173","","AM933172.275___355","AM933173.266___19472","CP001120.167","CP001113.172","CP000026.165","CP000886.203___37642","CP000857.172","CP001127.180","AL513382.185___49182","AE006468.258"
"kefF","","glutathione-regulated potassium-efflux system ancillary protein kefF","12","12","1","1","3557","43","4","","473","530","525","CP001138.185","AE017220.183","CP001144.170","AM933172.282___362","AM933173.273___19479","CP001120.173","CP001113.178","","CP000886.219___37658","CP000857.182","CP001127.188","AL513382.192___49189","AE006468.269"
"chi2","","endochitinase","12","12","1","1","3369","377","1","","1661","1763","1750","CP001138.533","AE017220.501","CP001144.495","AM933172.844___1068","AM933173.814___20165","CP001120.524","CP001113.502","CP000026.481","CP000886.599___38038","CP000857.493","CP001127.508","","AE006468.729"
"mesJ","","tRNA(Ile)-lysidine synthase (tRNA(Ile)-lysidinesynthetase) (tRNA(Ile)-2-lysyl-cytidine synthase)","12","12","1","1","3366","476","1","","1211","1292","1278","CP001138.539","AE017220.507","CP001144.501","AM933172.858___1082","AM933173.826___20177","CP001120.530","CP001113.508","CP000026.487","CP000886.605___38044","","CP001127.514","AL513382.568___49566","AE006468.738"
"STY0378","","putative inner membrane protein","12","12","1","1","7379","175","2","","488","548","493","CP001138.730","AE017220.859","CP001144.726","AM933172.1113___1374","AM933173.1097___20504","CP001120.850","CP001113.747","","CP000886.6511___43950","CP000857.718","CP001127.769","AL513382.762___49760","AE006468.1049"
"STY0384","","outer membrane protein OprM","12","12","1","1","7373","36","8","","515","1511","1385","CP001138.740","AE017220.869","CP001144.736","AM933172.1124___1385","AM933173.1109___20516","CP001120.860","CP001113.755","","CP000886.6501___43940","CP000857.727","CP001127.779","AL513382.768___49766","AE006468.1062"
"STY0414","","major facilitator superfamily MFS_1","12","12","1","1","7476","315","2","","980","1211","1179","CP001138.809","AE017220.933","","AM933172.1234___1549","AM933173.1212___20677","CP001120.929","CP001113.824","CP000026.4681","CP000886.6423___43862","CP000857.788","CP001127.844","AL513382.824___49822","AE006468.1156"
"ykgD","","transcriptional regulator, AraC family protein","12","12","1","1","7697","1","2459","","854","854","854","CP001138.1184","AE017220.1331","CP001144.1282","AM933172.1811___2388","AM933173.1768___21497","CP001120.1309","CP001113.1198","CP000026.4327","CP000886.5996___43435","","CP001127.1418","AL513382.1205___50203","AE006468.1699"
"STY0616","","putative ATPase involved in DNA repair","12","12","1","1","7703","306","1","","710","1175","1136","","AE017220.1339","CP001144.1290","AM933172.1827___2407","AM933173.1784___21516","CP001120.1317","CP001113.1208","CP000026.4319","CP000886.5986___43425","CP000857.1171","CP001127.1428","AL513382.1215___50213","AE006468.1711"
"STY0659","","molybdopterin-containing oxidoreductase catalytic subunit","12","12","1","1","7741","523","1","","2048","2279","2251","CP001138.1267","AE017220.1421","","AM933172.1947___2586","AM933173.1898___21690","CP001120.1406","CP001113.1297","CP000026.4245","CP000886.5904___43343","CP000857.1247","CP001127.1497","AL513382.1296___50294","AE006468.1853"
"dpiA","","transcriptional regulatory protein DpiA","12","12","1","1","7758","106","2","","548","680","665","CP001138.1300","AE017220.1452","","AM933172.1999___2658","AM933173.1945___21758","CP001120.1441","CP001113.1330","CP000026.4215","CP000886.5866___43305","CP000857.1282","CP001127.1528","AL513382.1330___50328","AE006468.1897"
"pagP","","antimicrobial peptide resistance and lipid A acylation protein PagP","12","12","1","1","7760","561","1","","560","581","567","CP001138.1304","","CP001144.1397","AM933172.2004___2672","AM933173.1950___21772","CP001120.1445","CP001113.1334","CP000026.4211","CP000886.5860___43299","CP000857.1286","CP001127.1532","AL513382.1333___50331","AE006468.1902"
"ybeM","","hydrolase YbeM","12","12","1","1","7764","470","1","","788","788","788","CP001138.1310","AE017220.1462","CP001144.1403","AM933172.2014___2685","AM933173.1960___21785","CP001120.1451","CP001113.1340","CP000026.4205","CP000886.5850___43289","CP000857.1292","CP001127.1538","","AE006468.1911"
"ybfA","","putative periplasmic protein","12","12","1","1","6937","234","2","","206","206","206","CP001138.1476","","CP001144.1566","AM933172.2265___3026","AM933173.2199___22119","CP001120.1618","CP001113.1504","CP000026.4065","CP000886.5660___43099","CP000857.1448","CP001127.1688","AL513382.1484___50482","AE006468.2146"
"ybgL","","protein YbgL","12","12","1","1","6929","15","5","","734","779","737","CP001138.1488","AE017220.1632","CP001144.1578","AM933172.2283___3057","AM933173.2217___22150","CP001120.1632","CP001113.1516","CP000026.4053","","CP000857.1460","CP001127.1700","AL513382.1497___50495","AE006468.2164"
"pipD","","peptidase family C69","12","12","1","1","8564","116","3","","1004","1562","1477","CP001138.2065","AE017220.2319","CP001144.2260","AM933172.3223___4314","AM933173.3100___23362","CP001120.2355","CP001113.2336","","CP000886.4925___42364","CP000857.5305","CP001127.2264","AL513382.2124___51122","AE006468.3350"
"copR","","transcriptional activator protein IrlR","12","12","1","1","8566","436","1","","680","746","713","CP001138.2069","AE017220.2323","CP001144.2264","AM933172.3234___4326","AM933173.3111___23374","","CP001113.2340","CP000026.3507","CP000886.4921___42360","CP000857.5301","CP001127.2268","AL513382.2128___51126","AE006468.3355"
"STY2148","","putative glucose-6-phosphate dehydrogenase","12","12","1","1","8907","70","7","","188","326","303","CP001138.2317","","CP001144.2518","AM933172.3553___4739","AM933173.3477___23835","CP001120.4224","CP001113.4123","CP000026.1859","CP000886.2442___39881","CP000857.3566","CP001127.4099","AL513382.4001___52999","AE006468.5889"
"flhB","","flagellar biosynthetic protein FlhB","12","12","1","1","8933","125","2","","755","1151","1118","CP001138.2368","AE017220.4215","CP001144.2570","AM933172.3618___4817","AM933173.3537___23910","CP001120.4174","CP001113.4069","","CP000886.2498___39937","CP000857.3616","CP001127.4049","AL513382.3938___52936","AE006468.5803"
"STY1990","","conserved hypothetical protein","12","12","1","1","5407","1","2126","","476","476","476","CP001138.2485","AE017220.4062","CP001144.2806","AM933172.3857___5110","AM933173.3826___24258","CP001120.4043","CP001113.3927","CP000026.2031","CP000886.2696___40135","CP000857.3761","CP001127.3922","AL513382.3697___52695",""
"STY1988","","putative cytoplasmic protein","12","12","1","1","5403","1","2125","","380","407","391","CP001138.2487","AE017220.4060","","AM933172.3859___5112","AM933173.3828___24260","CP001120.4041","CP001113.3925","CP000026.2033","CP000886.2698___40137","CP000857.3763","CP001127.3920","AL513382.3696___52694","AE006468.5628"
"ybeQ","","tetratricopeptide repeat protein","12","12","1","1","5289","120","7","","1319","1529","1507","CP001138.2706","AE017220.3837","CP001144.3022","AM933172.4182___5565","AM933173.4136___24692","CP001120.3830","CP001113.3712","CP000026.2225","CP000886.2953___40392","CP000857.3959","","AL513382.2436___51434","AE006468.5316"
"ychJ","","protein YchJ","12","12","1","1","5283","439","1","","359","506","469","CP001138.2724","AE017220.3827","CP001144.3040","AM933172.4198___5581","AM933173.4151___24707","CP001120.3812","CP001113.3696","CP000026.2245","CP000886.2977___40416","CP000857.3967","CP001127.3697","","AE006468.5305"
"ydcj","","putative cytoplasmic protein","12","12","1","1","5118","6","25","","1100","1394","1327","CP001138.3004","AE017220.3552","CP001144.3322","AM933172.4664___6135","AM933173.4555___25200","CP001120.3529","CP001113.3413","","CP000886.3315___40754","CP000857.4233","CP001127.3411","AL513382.2735___51733","AE006468.4904"
"ydcK","","conserved hypothetical protein","12","12","1","1","5103","575","1","","980","980","980","CP001138.3040","","CP001144.3350","AM933172.4720___6210","AM933173.4609___25273","CP001120.3501","CP001113.3385","CP000026.2517","CP000886.3347___40786","CP000857.4261","CP001127.3381","AL513382.2763___51761","AE006468.4864"
"group_879","","glutathione-dependent formaldehyde-activating, GFA","12","12","1","1","5061","38","2","","320","440","425","CP001138.3114","AE017220.3442","CP001144.3424","AM933172.4827___6381","AM933173.4710___25446","CP001120.3428","CP001113.3313","CP000026.2589","CP000886.3447___40886","CP000857.4338","CP001127.3307","","AE006468.4756"
"group_885","hypC","hydrogenase assembly chaperone HypC/HupF","12","12","1","1","7979","397","1","","299","299","299","CP001138.3207","AE017220.3393","CP001144.3485","AM933172.4938___6538","AM933173.4801___25554","CP001120.3344","CP001113.3237","","CP000886.3542___40981","CP000857.4392","CP001127.3214","AL513382.2890___51888","AE006468.4648"
"group_8894","dmsB","dimethylsulfoxide reductase, B subunit","12","12","1","1","8462","130","2","","617","617","617","CP001138.1901","AE017220.2042","CP001144.1984","AM933172.2951___3960","AM933173.2857___23040","CP001120.2077","CP001113.1960","","CP000886.5115___42554","CP000857.1942","CP001127.2110","AL513382.1910___50907","AE006468.2938"
"marB","","conserved domain protein","12","12","1","1","7998","67","6","","215","257","220","CP001138.3238","AE017220.3359","CP001144.3516","AM933172.4982___6600","AM933173.4843___25614","CP001120.3313","CP001113.3206","","CP000886.3576___41015","CP000857.4425","CP001127.3183","AL513382.2916___51914","AE006468.4598"
"ydgC","","GlpM family protein","12","12","1","1","8434","25","51","","326","374","336","CP001138.3330","AE017220.3265","","AM933172.5139___6853","AM933173.4973___25826","CP001120.3221","CP001113.3114","CP000026.2757","CP000886.3688___41127","CP000857.4511","CP001127.3089","AL513382.3078___52076","AE006468.4479"
"astD","","succinylglutamic semialdehyde dehydrogenase","12","12","1","1","8235","88","4","","1286","1478","1462","CP001138.3667","","CP001144.3945","AM933172.5669___7571","AM933173.5486___26536","CP001120.2805","CP001113.2782","CP000026.3077","CP000886.4079___41518","CP000857.4848","CP001127.2743","AL513382.3407___52405","AE006468.3978"
"STY1869","","putative cytoplasmic protein","12","12","1","1","8157","35","3","","962","1043","1036","CP001138.3787","AE017220.2783","","AM933172.5857___7820","AM933173.5654___26756","CP001120.2684","CP001113.2663","CP000026.3187","CP000886.4222___41661","CP000857.4976","CP001127.2624","AL513382.3510___52508","AE006468.3823"
"yceB","","putative lipoprotein","12","12","1","1","8704","503","1","","512","626","561","CP001138.3975","AE017220.2464","CP001144.4268","AM933172.6132___8143","AM933173.5917___27077","CP001120.2496","CP001113.2478","","CP000886.4735___42174","CP000857.5164","CP001127.2410","AL513382.2249___51247","AE006468.3565"
"cbiJ","","precorrin-6x reductase","12","12","1","1","6565","146","2","","695","791","781","CP001138.4204","AE017220.4476","CP001144.4563","AM933172.6462___8541","AM933173.6139___27363","CP001120.4408","CP001113.4318","CP000026.1689","CP000886.2164___39603","CP000857.3390","CP001127.4290","","AE006468.6137"
"pduO","","PduO","12","12","1","1","6537","138","2","","635","1010","978","CP001138.4253","","CP001144.4612","AM933172.6529___8618","AM933173.6203___27443","CP001120.4457","CP001113.4367","CP000026.1641","CP000886.2113___39552","CP000857.3340","CP001127.4339","AL513382.4265___53263","AE006468.6209"
"wcaL","","putative colanic acid biosynthesis glycosyltransferase WcaL","12","12","1","1","6461","165","1","","1220","1220","1220","CP001138.4356","AE017220.4612","CP001144.4718","AM933172.6686___8811","AM933173.6358___27636","CP001120.4562","CP001113.4475","","CP000886.1865___39304","CP000857.3255","CP001127.4557","AL513382.4407___53405","AE006468.6354"
"STY2339","","multidrug resistance protein MdtA","12","12","1","1","6434","161","2","","1193","1334","1244","CP001138.4417","AE017220.4670","CP001144.4777","AM933172.6766___8931","AM933173.6438___27756","CP001120.4621","CP001113.4534","","CP000886.1801___39240","CP000857.3197","CP001127.4616","AL513382.4474___53472","AE006468.6437"
"STY2462","","putative inner membrane protein","12","12","1","1","4784","309","2","","536","620","608","CP001138.4647","AE017220.4906","CP001144.4976","AM933172.7120___9466","AM933173.6770___28267","CP001120.4830","CP001113.4744","CP000026.1249","CP000886.1552___38991","CP000857.2974","","AL513382.4770___53768","AE006468.6738"
